seed,neighbor,cosine
corruption,irregularities,78.81655606685793
corruption,malpractices,75.65406697836899
corruption,nepotism,71.0218609665502
corruption,corrupt,69.51688306045759
corruption,maladministration,67.57169433387682
corruption,alleged,66.96245652602491
corruption,bribery,65.69522177584359
corruption,irregularity,65.00219665002086
corruption,misconduct,63.55056597057181
corruption,blackmarketing,62.69773506669783
corruption,negligence,62.66131990974734
corruption,malfeasance,62.4920038537458
corruption,levelled,62.22308106040037
corruption,mismanagement,61.81381426338962
corruption,forgery,61.77340388428957
farmer,fpos,69.9289706830363
farmer,fpo,68.29189885662157
farmer,farmers,67.13108790597863
farmer,producer,64.67240492743713
farmer,cooperatives,62.054279661914435
farmer,collectives,61.34635144173879
farmer,apmcs,60.80855491520994
farmer,agribusiness,59.9717665199275
farmer,marginal,59.44644329554209
farmer,farm,59.314478377016854
farmer,pacs,58.7893395185795
farmer,ffpos,58.25847740413947
farmer,enam,58.0998346185962
farmer,rearers,57.78327094844642
farmer,farmerproducer,57.648474382539554
minority,minorities,71.95567934600251
minority,tribal,71.185806997660407
minority,meritcummeans,66.23219880657419
minority,external,64.68525096754567
minority,youth,64.52522393204045
minority,sc,64.48724686446197
minority,postmatric,63.98272531492979
minority,obc,63.7172428791448
minority,scs,63.45233165059329
minority,castes,63.291982225156175
minority,panchayati,63.01353948255301
minority,communities,62.819173201179225
minority,scobc,62.65240812575474
minority,home,62.55240261993158
minority,muslim,62.44321739956791
development,entrepreneurship,62.76033445623882
development,deve,58.38046618612186
development,developmentand,57.71385875294524
development,elopment,56.3178852406289
development,developme,55.79842233348596
development,resoure,55.62642523549956
development,developmen,55.01758000732569
development,developmentof,55.003107825032544
development,skill,53.923547430498296
development,depaertment,53.37819096974738
development,enterpreneurship,52.369910057606035
development,rdi,51.70583861419066
development,sdps,51.67528627927446
development,tourism,50.882101653643545
development,develo,50.17405404639764
unemployment,joblessness,75.6599122211686
unemployment,underemployment,75.33104855212773
unemployment,unemployed,71.03707389311965
unemployment,educated,69.1766693606531
unemployment,migration,63.08844880498101
unemployment,inflation,62.664040356818695
unemployment,employment,61.61350846542487
unemployment,nonenrolment,59.67326622359056
unemployment,inequality,59.58228305344859
unemployment,lfpr,58.848593906980526
unemployment,dropout,58.45877184982862
unemployment,rate,58.27511576142914
unemployment,indebtedness,58.10345851695299
unemployment,malnutrition,57.85147305113514
unemployment,wpr,57.80593574705676
terrorism,terror,78.21210806525782
terrorism,terrorist,76.80365409989382
terrorism,naxalism,69.81995163082395
terrorism,insurgency,69.70971396699795
terrorism,radicalisation,67.6177932731353
terrorism,separatist,67.59155488281884
terrorism,terrorists,66.77764655167854
terrorism,cyber,66.66036239338283
terrorism,fanaticism,65.98342968854897
terrorism,ceasefire,65.48746582789389
terrorism,aigenerated,65.23652824586723
terrorism,firings,65.19136133028378
terrorism,infiltrations,65.09595612995447
terrorism,narco,64.31123259251655
terrorism,militancy,64.2129499766462
women,child,78.89712142857853
women,transgenders,63.874812479241015
women,lactating,62.02170677244536
women,pregnant,60.93657697900602
women,children,60.82959257249398
women,adolescent,59.89840546346206
women,girls,59.29875108360713
women,female,59.265949204713976
women,entrepreneurship,59.23937870834508
women,skill,58.95302701128357
women,men,57.964821862918555
women,sexual,57.93084141275047
women,girl,57.77395876829528
women,expectant,57.23383562268117
women,woman,57.14684792843059
caste,castes,76.03341417495082
caste,scheduled,74.53907652523877
caste,tribes,74.3231426535294
caste,tribe,73.1882547826354
caste,sc,72.7797392655115
caste,obc,72.15806822870023
caste,scs,71.37563562613089
caste,tribessts,69.77338747104193
caste,sts,69.43915996463407
caste,scscheduled,68.98245062146452
caste,obcs,68.51691048319455
caste,tribeother,67.8863352924645
caste,religion,66.52115465369751
caste,castestribes,65.81215359889943
caste,scsother,65.3128636670028
inflation,wpi,73.95963144548568
inflation,prices,70.93827861047583
inflation,indexed,68.84527393857324
inflation,adjusting,67.65955119289688
inflation,soared,65.60837586854011
inflation,inequality,64.79859013440556
inflation,inflationary,64.69769480059777
inflation,skyrocketing,63.196636873745874
inflation,rises,63.051225053769926
inflation,unemployment,62.664040356818695
inflation,cpi,62.382687086427524
inflation,yoy,61.53196619590712
inflation,price,61.18203987574324
inflation,rise,61.02609931502077
inflation,volatility,60.98169703177821
